source,target,weight
10111,10111,1.0
10119,10119,1.0
10120,10120,1.0
10210,10210,1.0
10290,10290,1.0
10310,10310,1.0
10310,681520,0.5714285714285714
10391,10391,1.0
10392,10392,1.0
10392,20311,0.5909090909090909
10392,20641,0.5652173913043478
10392,20710,0.5555555555555556
10392,40130,0.5925925925925926
10392,160249,0.6071428571428571
10392,560210,0.5909090909090909
10410,10410,1.0
10410,10420,0.6296296296296297
10420,10420,1.0
10511,10511,1.0
10511,40700,0.5714285714285714
10511,160100,0.6052631578947368
10519,10519,1.0
10519,843311,0.5625
10591,10591,1.0
10591,950612,0.5833333333333334
10599,10599,1.0
10599,843320,0.5789473684210527
10599,843390,0.5714285714285714
10599,843840,0.631578947368421
10600,10600,1.0
20110,20110,1.0
20110,20120,0.6956521739130435
20110,20311,0.6
20110,20641,0.5652173913043478
20110,20739,0.6190476190476191
20110,150100,0.6
20110,160239,0.5833333333333334
20110,843240,0.5714285714285714
20110,843320,0.6
20110,843390,0.5714285714285714
20110,843490,0.6
20120,20120,1.0
20120,20641,0.5652173913043478
20120,40410,0.5652173913043478
20120,150100,0.5652173913043478
20120,840310,0.6086956521739131
20120,843290,0.56
20120,843320,0.5652173913043478
20120,843490,0.5652173913043478
20120,860800,0.6086956521739131
20130,20130,1.0
20130,20220,0.6
20130,20230,0.6
20130,20610,0.6
20130,20621,0.65
20130,20622,0.65
20130,20629,0.65
20210,20210,1.0
20220,20220,1.0
20220,20621,0.6
20220,20629,0.6
20230,20230,1.0
20230,20629,0.631578947368421
20311,20311,1.0
20311,20319,0.5555555555555556
20311,20739,0.5714285714285714
20311,40899,0.5555555555555556
20311,110813,0.5555555555555556
20311,150100,0.631578947368421
20311,151410,0.5714285714285714
20311,151490,0.6111111111111112
20311,570320,0.5555555555555556
20311,732219,0.6111111111111112
20311,843390,0.5714285714285714
20312,20312,1.0
20312,20319,0.7692307692307693
20312,20322,0.5714285714285714
20312,20630,0.6666666666666666
20312,20649,0.7857142857142857
20312,20900,0.625
20312,21012,0.6428571428571429
20312,150100,0.5789473684210527
20312,400520,0.6363636363636364
20312,680690,0.6153846153846154
20312,901030,0.5714285714285714
20319,20319,1.0
20319,20322,0.6428571428571429
20319,20329,0.5789473684210527
20319,20630,0.6666666666666666
20319,20649,0.7142857142857143
20319,20900,0.5625
20319,21012,0.5714285714285714
20319,150100,0.5789473684210527
20319,151490,0.5555555555555556
20319,300210,0.6153846153846154
20321,20321,1.0
20322,20322,1.0
20322,20329,0.631578947368421
20322,20630,0.6
20322,20649,0.7142857142857143
20322,20742,0.5555555555555556
20322,20900,0.5625
20322,21012,0.5714285714285714
20322,160242,0.5789473684210527
20329,20329,1.0
20329,20630,0.5789473684210527
20329,20641,0.6521739130434783
20329,20649,0.631578947368421
20329,20742,0.5789473684210527
20329,20900,0.631578947368421
20329,40490,0.5714285714285714
20329,150100,0.5789473684210527
20329,160242,0.5789473684210527
20329,481140,0.5714285714285714
20410,20410,1.0
20410,20421,0.6521739130434783
20421,20421,1.0
20422,20422,1.0
20422,20423,0.625
20423,20423,1.0
20430,20430,1.0
20430,20680,0.5789473684210527
20430,20690,0.5789473684210527
20441,20441,1.0
20442,20442,1.0
20443,20443,1.0
20450,20450,1.0
20500,20500,1.0
20610,20610,1.0
20621,20621,1.0
20621,20622,0.5555555555555556
20621,20629,0.631578947368421
20622,20622,1.0
20622,20629,0.631578947368421
20629,20629,1.0
20630,20630,1.0
20630,20649,0.6666666666666666
20630,20900,0.6875
20630,150100,0.5789473684210527
20630,160241,0.5555555555555556
20630,340319,0.5625
20630,382100,0.6
20630,382200,0.5789473684210527
20630,842820,0.625
20630,843410,0.6
20630,852490,0.6
20641,20641,1.0
20641,20900,0.5652173913043478
20641,21011,0.6086956521739131
20641,40130,0.5555555555555556
20641,40899,0.5652173913043478
20641,81030,0.6086956521739131
20641,160231,0.6521739130434783
20641,160242,0.6086956521739131
20641,310240,0.5652173913043478
20641,480560,0.5652173913043478
20641,481140,0.5652173913043478
20641,841932,0.5652173913043478
20641,843680,0.5652173913043478
20649,20649,1.0
20649,20900,0.6875
20649,21012,0.6428571428571429
20649,150100,0.5789473684210527
20649,680690,0.5714285714285714
20649,901030,0.5714285714285714
20680,20680,1.0
20690,20690,1.0
20710,20710,1.0
20710,20739,0.5555555555555556
20710,40130,0.5925925925925926
20710,40310,0.5588235294117647
20710,110321,0.5555555555555556
20710,160100,0.5526315789473685
20710,160249,0.6428571428571429
20710,392111,0.6296296296296297
20710,392113,0.5925925925925926
20710,392520,0.6
20710,392590,0.5882352941176471
20710,441010,0.5757575757575758
20710,490290,0.5555555555555556
20710,560210,0.5555555555555556
20710,611511,0.5666666666666667
20710,700800,0.5555555555555556
20710,732183,0.5925925925925926
20710,732510,0.5555555555555556
20710,732620,0.5517241379310345
20710,732690,0.6
20710,761690,0.5925925925925926
20710,840310,0.5555555555555556
20710,840390,0.5555555555555556
20710,843290,0.5555555555555556
20710,843420,0.5757575757575758
20710,848050,0.6296296296296297
20710,871620,0.5555555555555556
20710,871690,0.5555555555555556
20710,940560,0.5588235294117647
20721,20721,1.0
20722,20722,1.0
20723,20723,1.0
20731,20731,1.0
20739,20739,1.0
20739,150100,0.5714285714285714
20739,151410,0.5714285714285714
20739,170240,0.5714285714285714
20739,441119,0.5714285714285714
20739,732219,0.5714285714285714
20739,840390,0.5714285714285714
20739,841620,0.5714285714285714
20739,843240,0.5714285714285714
20739,843290,0.56
20739,843320,0.5714285714285714
20739,843390,0.6666666666666666
20739,871690,0.5714285714285714
20741,20741,1.0
20742,20742,1.0
20742,150100,0.5789473684210527
20742,381300,0.5555555555555556
20742,841582,0.5555555555555556
20742,843311,0.5555555555555556
20743,20743,1.0
20810,20810,1.0
20890,20890,1.0
20900,20900,1.0
20900,21012,0.625
20900,150100,0.5789473684210527
20900,160241,0.5555555555555556
20900,480560,0.5652173913043478
20900,842820,0.5625
20900,843330,0.5625
21011,21011,1.0
21011,21019,0.5909090909090909
21011,732183,0.5909090909090909
21012,21012,1.0
21012,150100,0.5789473684210527
21012,160241,0.5555555555555556
21012,340530,0.5625
21012,870911,0.5714285714285714
21012,901030,0.5714285714285714
21019,21019,1.0
21019,160241,0.6666666666666666
21019,481140,0.5714285714285714
21020,21020,1.0
21090,21090,1.0
30110,30110,1.0
30191,30191,1.0
30192,30192,1.0
30193,30193,1.0
30199,30199,1.0
30211,30211,1.0
30212,30212,1.0
30219,30219,1.0
30221,30221,1.0
30222,30222,1.0
30223,30223,1.0
30229,30229,1.0
30231,30231,1.0
30232,30232,1.0
30232,30239,0.5952380952380952
30233,30233,1.0
30239,30239,1.0
30240,30240,1.0
30240,30350,0.6
30250,30250,1.0
30261,30261,1.0
30262,30262,1.0
30263,30263,1.0
30264,30264,1.0
30265,30265,1.0
30266,30266,1.0
30269,30269,1.0
30270,30270,1.0
30310,30310,1.0
30321,30321,1.0
30321,30322,0.6
30322,30322,1.0
30322,30541,0.6470588235294118
30322,30561,0.6428571428571429
30322,160411,0.5714285714285714
30322,160412,0.6428571428571429
30322,430110,0.6
30329,30329,1.0
30331,30331,1.0
30331,30360,0.6153846153846154
30331,30373,0.6153846153846154
30332,30332,1.0
30333,30333,1.0
30339,30339,1.0
30341,30341,1.0
30341,30342,0.6041666666666666
30341,30343,0.6923076923076923
30342,30342,1.0
30342,30343,0.7083333333333334
30342,30349,0.6862745098039216
30343,30343,1.0
30343,30349,0.6274509803921569
30349,30349,1.0
30350,30350,1.0
30350,30373,0.6
30350,30561,0.6
30360,30360,1.0
30360,30372,0.5833333333333334
30360,30373,0.75
30360,30562,0.75
30371,30371,1.0
30372,30372,1.0
30372,30373,0.5833333333333334
30373,30373,1.0
30373,30561,0.6923076923076923
30373,30562,0.6666666666666666
30373,160412,0.5714285714285714
30374,30374,1.0
30374,230120,0.5609756097560976
30375,30375,1.0
30376,30376,1.0
30377,30377,1.0
30378,30378,1.0
30378,81040,0.6666666666666666
30379,30379,1.0
30379,30420,0.5625
30380,30380,1.0
30410,30410,1.0
30420,30420,1.0
30420,30490,0.6274509803921569
30420,51191,0.5686274509803921
30490,30490,1.0
30490,30569,0.5555555555555556
30510,30510,1.0
30520,30520,1.0
30530,30530,1.0
30541,30541,1.0
30541,30561,0.6470588235294118
30541,160412,0.6470588235294118
30541,430110,0.6470588235294118
30542,30542,1.0
30549,30549,1.0
30551,30551,1.0
30559,30559,1.0
30561,30561,1.0
30561,160412,0.7857142857142857
30561,430110,0.7333333333333333
30561,681520,0.6153846153846154
30562,30562,1.0
30563,30563,1.0
30563,160416,0.5882352941176471
30569,30569,1.0
30611,30611,1.0
30612,30612,1.0
30613,30613,1.0
30614,30614,1.0
30619,30619,1.0
30619,30629,0.5526315789473685
30621,30621,1.0
30622,30622,1.0
30623,30623,1.0
30624,30624,1.0
30629,30629,1.0
30710,30710,1.0
30721,30721,1.0
30729,30729,1.0
30731,30731,1.0
30739,30739,1.0
30741,30741,1.0
30741,30749,0.5666666666666667
30749,30749,1.0
30751,30751,1.0
30759,30759,1.0
30760,30760,1.0
30791,30791,1.0
30799,30799,1.0
40110,40110,1.0
40110,40120,0.6578947368421053
40120,40120,1.0
40120,40130,0.5526315789473685
40120,40390,0.5789473684210527
40120,160100,0.631578947368421
40120,441520,0.5952380952380952
40120,730890,0.5526315789473685
40130,40130,1.0
40130,40310,0.5588235294117647
40130,40500,0.5925925925925926
40130,160249,0.6071428571428571
40130,490290,0.5925925925925926
40130,681091,0.5666666666666667
40210,40210,1.0
40210,40410,0.6666666666666666
40210,40490,0.625
40210,40500,0.64
40210,843490,0.5833333333333334
40221,40221,1.0
40229,40229,1.0
40291,40291,1.0
40299,40299,1.0
40310,40310,1.0
40310,40390,0.5675675675675675
40310,160100,0.6052631578947368
40310,160210,0.5588235294117647
40310,210420,0.5714285714285714
40310,210500,0.5789473684210527
40310,262011,0.5882352941176471
40310,320810,0.5555555555555556
40310,320910,0.5882352941176471
40310,392590,0.5588235294117647
40310,441010,0.6176470588235294
40310,730890,0.5789473684210527
40310,830990,0.5882352941176471
40310,843420,0.5882352941176471
40310,940560,0.6176470588235294
40390,40390,1.0
40390,160100,0.5526315789473685
40390,210500,0.6052631578947368
40390,730890,0.5526315789473685
40410,40410,1.0
40410,40490,0.6086956521739131
40410,40500,0.6
40410,40610,0.5555555555555556
40410,40690,0.5806451612903226
40410,843240,0.6521739130434783
40410,843320,0.5652173913043478
40410,843390,0.5652173913043478
40410,843490,0.6086956521739131
40410,843680,0.6086956521739131
40410,843699,0.5833333333333334
